,emoji,meanings_en,meanings_ru
4107,▶,"[""play button"", ""play button"", ""right triangle""]","[""играть кнопку"", ""играть кнопку"", ""правый треугольник""]"
4108,⏩,"[""fast-forward button"", ""fast forward""]","[""быстрая кнопка"", ""быстро вперед""]"
4109,⏭️,"[""next track button"", ""next track""]","[""следующая кнопка трека"", ""следующий трек""]"
4110,⏭,"[""next track button"", ""next track""]","[""следующая кнопка трека"", ""следующий трек""]"
4111,⏯️,"[""play or pause button"", ""play-pause""]","[""играть или пауза кнопка"", ""play-пауза""]"
4112,⏯,"[""play or pause button"", ""play-pause""]","[""играть или пауза кнопка"", ""play-пауза""]"
4113,◀️,"[""reverse button"", ""left triangle""]","[""Обратная кнопка"", ""левый треугольник""]"
4114,◀,"[""reverse button"", ""left triangle""]","[""Обратная кнопка"", ""левый треугольник""]"
4115,⏪,"[""fast reverse button"", ""rewind""]","[""быстрая обратная кнопка"", ""перемотка""]"
4116,⏮️,"[""last track button"", ""previous track""]","[""Последняя кнопка трека"", ""предыдущий трек""]"
4117,⏮,"[""last track button"", ""previous track""]","[""Последняя кнопка трека"", ""предыдущий трек""]"
4118,🔼,"[""upwards button"", ""up triangle""]","[""вверх кнопка"", ""вверх треугольник""]"
4119,⏫,"[""fast up button""]","[""быстрая кнопка""]"
4120,🔽,"[""downwards button"", ""down triangle""]","[""вниз кнопка"", ""вниз треугольник""]"
4121,⏬,"[""fast down button""]","[""быстрая кнопка""]"
4122,⏸️,"[""pause button"", ""pause""]","[""кнопка паузы"", ""пауза""]"
4123,⏸,"[""pause button"", ""pause""]","[""кнопка паузы"", ""пауза""]"
4124,⏹️,"[""stop button"", ""stop""]","[""остановить кнопку"", ""остановиться""]"
4125,⏹,"[""stop button"", ""stop""]","[""остановить кнопку"", ""остановиться""]"
4126,⏺️,"[""record button"", ""record""]","[""записная кнопка"", ""запись""]"
4127,⏺,"[""record button"", ""record""]","[""записная кнопка"", ""запись""]"
4128,⏏️,"[""eject button""]","[""кнопка eject""]"
4129,⏏,"[""eject button""]","[""кнопка eject""]"
4130,🎦,"[""cinema"", ""cinema screen"", ""movies""]","[""кино"", ""Киноэкран"", ""фильмы""]"
4131,🔅,"[""dim button"", ""decrease brightness""]","[""кнопка dim"", ""уменьшить яркость""]"
4132,🔆,"[""bright button"", ""increase brightness""]","[""яркая кнопка"", ""увеличить яркость""]"
4133,📶,"[""antenna bars"", ""reception bars"", ""signal strength"", ""stairs""]","[""антенна бар"", ""приемные бары"", ""сила сигнала"", ""лестницы""]"
4134,📳,"[""vibration mode"", ""phone heart"", ""silent mode""]","[""режим вибрации"", ""телефон сердце"", ""тихий режим""]"
4135,📴,"[""mobile phone off""]","[""мобильный телефон выключен""]"
4136,♀️,"[""female sign"", ""venus symbol""]","[""женский знак"", ""venus символ""]"
4137,♀,"[""female sign"", ""venus symbol""]","[""женский знак"", ""venus символ""]"
4138,♂️,"[""male sign"", ""symbol"", ""mars symbol""]","[""мужской знак"", ""символ"", ""символ mars""]"
4139,♂,"[""male sign"", ""symbol"", ""mars symbol""]","[""мужской знак"", ""символ"", ""символ mars""]"
4140,⚧️,"[""transgender symbol"", ""transgender sign""]","[""трансгендерный символ"", ""трансгендерный знак""]"
4141,⚧,"[""transgender symbol"", ""transgender sign""]","[""трансгендерный символ"", ""трансгендерный знак""]"
4142,✖️,"[""multiply""]","[""Умножить""]"
4143,✖,"[""multiply""]","[""Умножить""]"
4144,➕,"[""plus""]","[""плюс""]"
4145,➖,"[""minus""]","[""Минус""]"
4146,➗,"[""divide""]","[""разделить""]"
4147,♾️,"[""infinity"", ""infinity""]","[""бесконечность"", ""бесконечность""]"
4148,♾,"[""infinity"", ""infinity""]","[""бесконечность"", ""бесконечность""]"
4149,‼️,"[""double exclamation mark""]","[""двойная знак возбуждения""]"
4150,‼,"[""double exclamation mark""]","[""двойная знак возбуждения""]"
4151,⁉️,"[""exclamation question mark""]","[""волнение вопрос знак""]"
4152,⁉,"[""exclamation question mark""]","[""волнение вопрос знак""]"
4153,❓,"[""red question mark""]","[""красный знак вопроса""]"
4154,❔,"[""white question mark""]","[""белый знак вопроса""]"
4155,❕,"[""white exclamation mark""]","[""белая знак возбуждения""]"
4156,❗,"[""red exclamation mark""]","[""красная знак возбуждения""]"
4157,〰️,"[""wavy dash"", ""〰 wave""]","[""wavy даш"", "" wave волна""]"
4158,〰,"[""wavy dash"", ""〰 wave""]","[""wavy даш"", "" wave волна""]"
4159,💱,"[""currency exchange""]","[""Обмен валют""]"
4160,💲,"[""heavy dollar sign"", ""dollar"", ""dollar sign""]","[""тяжелый знак доллара"", ""доллар"", ""Знак доллара""]"
4161,⚕️,"[""medical symbol"", ""aesculapius"", ""asklepios"", ""rod of asclepius""]","[""медицинский символ"", ""эскулакция"", ""спрайс"", ""стержень asclepius""]"
4162,⚕,"[""medical symbol"", ""aesculapius"", ""asklepios"", ""rod of asclepius""]","[""медицинский символ"", ""эскулакция"", ""спрайс"", ""стержень asclepius""]"
4163,♻️,"[""recycling symbol"", ""recycle logo""]","[""символ переработки"", ""recycle логотип""]"
4164,♻,"[""recycling symbol"", ""recycle logo""]","[""символ переработки"", ""recycle логотип""]"
4165,⚜️,"[""fleur-de-lis"", ""new orleans saints"", ""scouts""]","[""fleur-de-lis"", ""новые орлеаны святые"", ""скауты""]"
4166,⚜,"[""fleur-de-lis"", ""new orleans saints"", ""scouts""]","[""fleur-de-lis"", ""новые орлеаны святые"", ""скауты""]"
4167,🔱,"[""trident emblem"", ""pitchfork"", ""trident""]","[""тридент эмблема"", ""питчфорк"", ""тридент""]"
4168,📛,"[""name badge"", ""fire tag"", ""name tag"", ""tofu on fire""]","[""имя бейдж"", ""пожарный тег"", ""имя тег"", ""тофу на огне""]"
4169,🔰,"[""japanese symbol for beginner"", ""shoshinsha mark"", ""yellow green shield""]","[""японский символ для начинающих"", ""марка shoshinsha"", ""желтый зеленый щит""]"
4170,⭕,"[""hollow red circle"", ""circle"", ""correct"", ""red circle""]","[""Полый красный круг"", ""круг"", ""правильно"", ""красный круг""]"
4171,✅,"[""check mark button"", ""green check mark"", ""green tick""]","[""проверить кнопку Марка"", ""зеленый знак проверки"", ""зеленый тик""]"
4172,☑️,"[""check box with check"", ""checkbox"", ""check mark in box""]","[""check коробка с проверкой"", ""чекбокс"", ""проверить знак в коробке""]"
4173,☑,"[""check box with check"", ""checkbox"", ""check mark in box""]","[""check коробка с проверкой"", ""чекбокс"", ""проверить знак в коробке""]"
4174,✔️,"[""check mark"", ""check"", ""tick""]","[""check Марка"", ""Проверить"", ""тик""]"
4175,✔,"[""check mark"", ""check"", ""tick""]","[""check Марка"", ""Проверить"", ""тик""]"
4176,❌,"[""cross mark"", ""cross"", ""x""]","[""кросс марка"", ""крест"", ""х""]"
4177,❎,"[""cross mark button"", ""cross"", ""x""]","[""Кнопка кросс-марки"", ""крест"", ""х""]"
4178,➰,"[""curly loop"", ""curling loop"", ""loop""]","[""curly цикл"", ""курящий цикл"", ""цикл""]"
4179,➿,"[""double curly loop"", ""double curling loop"", ""voicemail""]","[""двойной curly цикл"", ""двойной курс петля"", ""голосовая почта""]"
4180,〽️,"[""part alternation mark"", ""m"", ""mcdonald’s""]","[""часть метка изменения"", ""м"", ""mcdonald’s""]"
4181,〽,"[""part alternation mark"", ""m"", ""mcdonald’s""]","[""часть метка изменения"", ""м"", ""mcdonald’s""]"
4182,✳️,"[""eight-spoked asterisk""]","[""восьмиговорный астерик""]"
4183,✳,"[""eight-spoked asterisk""]","[""восьмиговорный астерик""]"
4184,✴️,"[""eight-pointed star"", ""orange star""]","[""восьмибалльная звезда"", ""оранжевая звезда""]"
4185,✴,"[""eight-pointed star"", ""orange star""]","[""восьмибалльная звезда"", ""оранжевая звезда""]"
4186,❇️,"[""sparkle""]","[""искрение""]"
4187,❇,"[""sparkle""]","[""искрение""]"
4188,©️,"[""copyright""]","[""Авторские права""]"
4189,©,"[""copyright""]","[""Авторские права""]"
4190,®️,"[""registered""]","[""зарегистрирован""]"
4191,®,"[""registered""]","[""зарегистрирован""]"
4192,™️,"[""trade mark"", ""™ tm"", ""™ trademark""]","[""Торговая марка"", ""ТМ"", ""ТМ Торговая марка""]"
4193,™,"[""trade mark"", ""™ tm"", ""™ trademark""]","[""Торговая марка"", ""ТМ"", ""ТМ Торговая марка""]"
4194,#️⃣,"[""""]","[""""]"
4195,#⃣,"[""""]","[""""]"
4196,*️⃣,"[""keycap asterisk"", ""star keycap""]","[""keycap астериск"", ""звезда keycap""]"
4197,*⃣,"[""keycap asterisk"", ""star keycap""]","[""keycap астериск"", ""звезда keycap""]"
4198,0️⃣,"["" zero""]","[""ноль""]"
4199,0⃣,"["" zero""]","[""ноль""]"
4200,1️⃣,"["" one""]","[""один""]"
4201,1⃣,"["" one""]","[""один""]"
4202,2️⃣,"["" two""]","[""два""]"
4203,2⃣,"["" two""]","[""два""]"
4204,3️⃣,"["" three""]","[""три""]"
4205,3⃣,"["" three""]","[""три""]"
4206,4️⃣,"["" four""]","[""четыре""]"
4207,4⃣,"["" four""]","[""четыре""]"
4208,5️⃣,"["" five""]","[""пять""]"
4209,5⃣,"["" five""]","[""пять""]"
4210,6️⃣,"["" six""]","[""шесть""]"
4211,6⃣,"["" six""]","[""шесть""]"
4212,7️⃣,"["" seven""]","[""семь""]"
4213,7⃣,"["" seven""]","[""семь""]"
4214,8️⃣,"["" eight""]","[""восемь""]"
4215,8⃣,"["" eight""]","[""восемь""]"
4216,9️⃣,"["" nine""]","[""девять""]"
4217,9⃣,"["" nine""]","[""девять""]"
4218,🔟,"[""keycap: 10"", ""number 10""]","[""keycap: 10 ночей"", ""номер 10""]"
4219,🔠,"[""input latin uppercase"", ""abcd"", ""uppercase""]","[""вход latin верхнего регистра"", ""абкд"", ""над чемодан""]"
4220,🔡,"[""input latin lowercase"", ""abcd"", ""lowercase""]","[""вход latin нижнего шкафа"", ""абкд"", ""ниже чемоданы""]"
4221,🔢,"[""input numbers"", ""1234"", ""numbers"", ""numeric input""]","[""входные номера"", ""1 2 3 4 5"", ""цифры"", ""числовой вход""]"
4222,🔣,"[""input symbols"", ""symbols"", ""symbol input""]","[""входные символы"", ""символы"", ""вход символа""]"
4223,🔤,"[""input latin letters"", ""abc"", ""alphabet"", ""letters""]","[""входные латинские буквы"", ""абк"", ""алфавит"", ""буквы""]"
4224,🅰️,"[""a button (blood type)"", ""blood type a""]","[""кнопка (тип крови)"", ""тип крови a""]"
4225,🅰,"[""a button (blood type)"", ""blood type a""]","[""кнопка (тип крови)"", ""тип крови a""]"
