,emoji,meanings,words,poses
4006,🚮,"[""Litter in Bin Sign"", ""Person With Trash"", ""Put Litter In Trash""]","[""person"", ""bin"", ""trash"", ""litter"", ""put"", ""sign"", ""in"", ""with""]","{""litter"": ""NOUN"", ""in"": ""ADP"", ""bin"": ""NOUN"", ""sign"": ""NOUN"", ""person"": ""NOUN"", ""with"": ""ADP"", ""trash"": ""NOUN"", ""put"": ""VERB""}"
4007,🚰,"[""Potable Water"", ""Thirst"", ""Thirsty"", ""Water Tap""]","[""potable"", ""thirsty"", ""water"", ""tap"", ""thirst""]","{""potable"": ""ADJ"", ""water"": ""NOUN"", ""thirst"": ""NOUN"", ""thirsty"": ""NOUN"", ""tap"": ""NOUN""}"
4008,♿,"[""Wheelchair Symbol"", ""Accessible Bathroom""]","[""accessible"", ""symbol"", ""wheelchair"", ""bathroom""]","{""wheelchair"": ""NOUN"", ""symbol"": ""NOUN"", ""accessible"": ""ADJ"", ""bathroom"": ""NOUN""}"
4009,🚹,"[""Men’s Room"", ""Male Restroom"", ""Mens Toilet""]","[""men"", ""room"", ""s"", ""restroom"", ""male"", ""mens"", ""toilet"", ""’""]","{""men"": ""NOUN"", ""’"": ""."", ""s"": ""NOUN"", ""room"": ""NOUN"", ""male"": ""ADJ"", ""restroom"": ""NOUN"", ""mens"": ""NOUN"", ""toilet"": ""VERB""}"
4010,🚺,"[""Women’s Room"", ""Female Restroom"", ""Womens Toilet""]","[""room"", ""restroom"", ""s"", ""female"", ""womens"", ""women"", ""toilet"", ""’""]","{""women"": ""NOUN"", ""’"": ""NOUN"", ""s"": ""NOUN"", ""room"": ""NOUN"", ""female"": ""NOUN"", ""restroom"": ""NOUN"", ""womens"": ""NOUN"", ""toilet"": ""VERB""}"
4011,🚻,"[""Restroom"", ""Bathroom Sign"", ""Toilet Sign""]","[""restroom"", ""bathroom"", ""sign"", ""toilet""]","{""restroom"": ""NOUN"", ""bathroom"": ""NOUN"", ""sign"": ""NOUN"", ""toilet"": ""NOUN""}"
4012,🚼,"[""Baby Symbol"", ""Baby Change Station"", ""Baby Change Symbol"", ""Nursery""]","[""change"", ""symbol"", ""station"", ""nursery"", ""baby""]","{""baby"": ""NOUN"", ""symbol"": ""NOUN"", ""change"": ""NOUN"", ""station"": ""NOUN"", ""nursery"": ""NOUN""}"
4013,🚾,"[""Water Closet"", ""Toilet WC"", ""WC""]","[""wc"", ""water"", ""closet"", ""toilet""]","{""water"": ""NOUN"", ""closet"": ""NOUN"", ""toilet"": ""NOUN"", ""wc"": ""NOUN""}"
4014,🛂,"[""Passport Control"", ""Border Control""]","[""passport"", ""border"", ""control""]","{""passport"": ""NOUN"", ""control"": ""NOUN"", ""border"": ""NOUN""}"
4015,🛃,"[""Customs""]","[""customs""]","{""customs"": ""NOUN""}"
4016,🛄,"[""Baggage Claim""]","[""baggage"", ""claim""]","{""baggage"": ""NOUN"", ""claim"": ""NOUN""}"
4017,🛅,"[""Left Luggage"", ""Bag With Key"", ""Locked Suitcase""]","[""bag"", ""locked"", ""suitcase"", ""luggage"", ""key"", ""left"", ""with""]","{""left"": ""VERB"", ""luggage"": ""NOUN"", ""bag"": ""NOUN"", ""with"": ""ADP"", ""key"": ""NOUN"", ""locked"": ""VERB"", ""suitcase"": ""NOUN""}"
4018,⚠️,"[""Warning"", ""Alert Symbol""]","[""warning"", ""alert"", ""symbol""]","{""warning"": ""VERB"", ""alert"": ""NOUN"", ""symbol"": ""NOUN""}"
4019,⚠,"[""Warning"", ""Alert Symbol""]","[""warning"", ""alert"", ""symbol""]","{""warning"": ""VERB"", ""alert"": ""NOUN"", ""symbol"": ""NOUN""}"
4020,🚸,"[""Children Crossing"", ""Kids Crossing"", ""School Crossing""]","[""children"", ""crossing"", ""school"", ""kids""]","{""children"": ""NOUN"", ""crossing"": ""NOUN"", ""kids"": ""NOUN"", ""school"": ""NOUN""}"
4021,⛔,"[""No Entry""]","[""no"", ""entry""]","{""no"": ""DET"", ""entry"": ""NOUN""}"
4022,🚫,"[""Prohibited"", ""Banned"", ""Circle Backslash"", ""No"", ""Red Circle Crossed"", ""Restricted""]","[""no"", ""crossed"", ""backslash"", ""banned"", ""restricted"", ""prohibited"", ""red"", ""circle""]","{""prohibited"": ""VERB"", ""banned"": ""VERB"", ""circle"": ""NOUN"", ""backslash"": ""NOUN"", ""no"": ""DET"", ""red"": ""ADJ"", ""crossed"": ""VERB"", ""restricted"": ""VERB""}"
4023,🚳,"[""No Bicycles"", ""No Bikes Sign""]","[""no"", ""sign"", ""bikes"", ""bicycles""]","{""no"": ""DET"", ""bicycles"": ""NOUN"", ""bikes"": ""NOUN"", ""sign"": ""NOUN""}"
4024,🚭,"[""No Smoking""]","[""smoking"", ""no""]","{""no"": ""DET"", ""smoking"": ""NOUN""}"
4025,🚯,"[""No Littering""]","[""no"", ""littering""]","{""no"": ""DET"", ""littering"": ""VERB""}"
4026,🚱,"[""Non-Potable Water"", ""No Drinking Water"", ""No Water""]","[""non-potable"", ""no"", ""water"", ""drinking""]","{""non-potable"": ""ADJ"", ""water"": ""NOUN"", ""no"": ""DET"", ""drinking"": ""NOUN""}"
4027,🚷,"[""No Pedestrians"", ""No People"", ""No Walking""]","[""no"", ""walking"", ""pedestrians"", ""people""]","{""no"": ""DET"", ""pedestrians"": ""NOUN"", ""people"": ""NOUN"", ""walking"": ""VERB""}"
4028,📵,"[""No Mobile Phones"", ""No Cell Phones"", ""No Phones"", ""No Smartphones""]","[""no"", ""phones"", ""cell"", ""smartphones"", ""mobile""]","{""no"": ""DET"", ""mobile"": ""NOUN"", ""phones"": ""NOUN"", ""cell"": ""NOUN"", ""smartphones"": ""NOUN""}"
4029,🔞,"[""No One Under Eighteen"", ""NSFW""]","[""no"", ""nsfw"", ""eighteen"", ""one"", ""under""]","{""no"": ""DET"", ""one"": ""NOUN"", ""under"": ""ADP"", ""eighteen"": ""NOUN"", ""nsfw"": ""NOUN""}"
4030,☢️,"[""Radioactive"", ""International Radiation Symbol"", ""Nuclear""]","[""radiation"", ""symbol"", ""nuclear"", ""international"", ""radioactive""]","{""radioactive"": ""ADJ"", ""international"": ""NOUN"", ""radiation"": ""NOUN"", ""symbol"": ""NOUN"", ""nuclear"": ""NOUN""}"
4031,☢,"[""Radioactive"", ""International Radiation Symbol"", ""Nuclear""]","[""radiation"", ""symbol"", ""nuclear"", ""international"", ""radioactive""]","{""radioactive"": ""ADJ"", ""international"": ""NOUN"", ""radiation"": ""NOUN"", ""symbol"": ""NOUN"", ""nuclear"": ""NOUN""}"
4032,☣️,"[""Biohazard""]","[""biohazard""]","{""biohazard"": ""NOUN""}"
4033,☣,"[""Biohazard""]","[""biohazard""]","{""biohazard"": ""NOUN""}"
4034,⬆️,"[""Up Arrow"", ""Arrow Pointing Up"", ""Up Arrow""]","[""arrow"", ""pointing"", ""up""]","{""up"": ""ADV"", ""arrow"": ""NOUN"", ""pointing"": ""VERB""}"
4035,⬆,"[""Up Arrow"", ""Arrow Pointing Up"", ""Up Arrow""]","[""arrow"", ""pointing"", ""up""]","{""up"": ""ADV"", ""arrow"": ""NOUN"", ""pointing"": ""VERB""}"
4036,↗️,"[""Up-Right Arrow"", ""Diagonal Up-Right Arrow""]","[""arrow"", ""up-right"", ""diagonal""]","{""up-right"": ""NOUN"", ""arrow"": ""NOUN"", ""diagonal"": ""ADJ""}"
4037,↗,"[""Up-Right Arrow"", ""Diagonal Up-Right Arrow""]","[""arrow"", ""up-right"", ""diagonal""]","{""up-right"": ""NOUN"", ""arrow"": ""NOUN"", ""diagonal"": ""ADJ""}"
4038,➡️,"[""Right Arrow"", ""Arrow Pointing Right"", ""Right Arrow""]","[""right"", ""arrow"", ""pointing""]","{""right"": ""ADV"", ""arrow"": ""NOUN"", ""pointing"": ""VERB""}"
4039,➡,"[""Right Arrow"", ""Arrow Pointing Right"", ""Right Arrow""]","[""right"", ""arrow"", ""pointing""]","{""right"": ""ADV"", ""arrow"": ""NOUN"", ""pointing"": ""VERB""}"
4040,↘️,"[""Down-Right Arrow"", ""Diagonal Down-Right Arrow""]","[""arrow"", ""down-right"", ""diagonal""]","{""down-right"": ""NOUN"", ""arrow"": ""NOUN"", ""diagonal"": ""ADJ""}"
4041,↘,"[""Down-Right Arrow"", ""Diagonal Down-Right Arrow""]","[""arrow"", ""down-right"", ""diagonal""]","{""down-right"": ""NOUN"", ""arrow"": ""NOUN"", ""diagonal"": ""ADJ""}"
4042,⬇️,"[""Down Arrow"", ""Arrow Pointing Down"", ""Down Arrow""]","[""arrow"", ""pointing"", ""down""]","{""down"": ""NOUN"", ""arrow"": ""NOUN"", ""pointing"": ""VERB""}"
4043,⬇,"[""Down Arrow"", ""Arrow Pointing Down"", ""Down Arrow""]","[""arrow"", ""pointing"", ""down""]","{""down"": ""NOUN"", ""arrow"": ""NOUN"", ""pointing"": ""VERB""}"
4044,↙️,"[""Down-Left Arrow"", ""Diagonal Down-Left Arrow""]","[""down-left"", ""arrow"", ""diagonal""]","{""down-left"": ""NOUN"", ""arrow"": ""NOUN"", ""diagonal"": ""ADJ""}"
4045,↙,"[""Down-Left Arrow"", ""Diagonal Down-Left Arrow""]","[""down-left"", ""arrow"", ""diagonal""]","{""down-left"": ""NOUN"", ""arrow"": ""NOUN"", ""diagonal"": ""ADJ""}"
4046,⬅️,"[""Left Arrow"", ""Arrow Pointing Left"", ""Left Arrow""]","[""arrow"", ""pointing"", ""left""]","{""left"": ""VERB"", ""arrow"": ""NOUN"", ""pointing"": ""NOUN""}"
4047,⬅,"[""Left Arrow"", ""Arrow Pointing Left"", ""Left Arrow""]","[""arrow"", ""pointing"", ""left""]","{""left"": ""VERB"", ""arrow"": ""NOUN"", ""pointing"": ""NOUN""}"
4048,↖️,"[""Up-Left Arrow"", ""Diagonal Up-Left Arrow""]","[""arrow"", ""up-left"", ""diagonal""]","{""up-left"": ""NOUN"", ""arrow"": ""NOUN"", ""diagonal"": ""ADJ""}"
4049,↖,"[""Up-Left Arrow"", ""Diagonal Up-Left Arrow""]","[""arrow"", ""up-left"", ""diagonal""]","{""up-left"": ""NOUN"", ""arrow"": ""NOUN"", ""diagonal"": ""ADJ""}"
4050,↕️,"[""Up-Down Arrow"", ""Vertical Arrows""]","[""vertical"", ""arrows"", ""arrow"", ""up-down""]","{""up-down"": ""ADJ"", ""arrow"": ""NOUN"", ""vertical"": ""ADJ"", ""arrows"": ""NOUN""}"
4051,↕,"[""Up-Down Arrow"", ""Vertical Arrows""]","[""vertical"", ""arrows"", ""arrow"", ""up-down""]","{""up-down"": ""ADJ"", ""arrow"": ""NOUN"", ""vertical"": ""ADJ"", ""arrows"": ""NOUN""}"
4052,↔️,"[""Left-Right Arrow"", ""Horizontal Arrows"", ""Sideways Arrows""]","[""horizontal"", ""arrows"", ""arrow"", ""sideways"", ""left-right""]","{""left-right"": ""ADJ"", ""arrow"": ""NOUN"", ""horizontal"": ""ADJ"", ""arrows"": ""VERB"", ""sideways"": ""NOUN""}"
4053,↔,"[""Left-Right Arrow"", ""Horizontal Arrows"", ""Sideways Arrows""]","[""horizontal"", ""arrows"", ""arrow"", ""sideways"", ""left-right""]","{""left-right"": ""ADJ"", ""arrow"": ""NOUN"", ""horizontal"": ""ADJ"", ""arrows"": ""VERB"", ""sideways"": ""NOUN""}"
4054,↩️,"[""Right Arrow Curving Left"", ""Email Reply"", ""Left Curved Arrow""]","[""reply"", ""right"", ""arrow"", ""email"", ""curving"", ""left"", ""curved""]","{""right"": ""ADV"", ""arrow"": ""NOUN"", ""curving"": ""NOUN"", ""left"": ""NOUN"", ""email"": ""NOUN"", ""reply"": ""NOUN"", ""curved"": ""NOUN""}"
4055,↩,"[""Right Arrow Curving Left"", ""Email Reply"", ""Left Curved Arrow""]","[""reply"", ""right"", ""arrow"", ""email"", ""curving"", ""left"", ""curved""]","{""right"": ""ADV"", ""arrow"": ""NOUN"", ""curving"": ""NOUN"", ""left"": ""NOUN"", ""email"": ""NOUN"", ""reply"": ""NOUN"", ""curved"": ""NOUN""}"
4056,↪️,"[""Left Arrow Curving Right"", ""Email Forward"", ""Right Curved Arrow""]","[""right"", ""arrow"", ""email"", ""forward"", ""curving"", ""left"", ""curved""]","{""left"": ""NOUN"", ""arrow"": ""NOUN"", ""curving"": ""NOUN"", ""right"": ""ADV"", ""email"": ""NOUN"", ""forward"": ""NOUN"", ""curved"": ""NOUN""}"
4057,↪,"[""Left Arrow Curving Right"", ""Email Forward"", ""Right Curved Arrow""]","[""right"", ""arrow"", ""email"", ""forward"", ""curving"", ""left"", ""curved""]","{""left"": ""NOUN"", ""arrow"": ""NOUN"", ""curving"": ""NOUN"", ""right"": ""ADV"", ""email"": ""NOUN"", ""forward"": ""NOUN"", ""curved"": ""NOUN""}"
4058,⤴️,"[""Right Arrow Curving Up""]","[""curving"", ""up"", ""right"", ""arrow""]","{""right"": ""ADV"", ""arrow"": ""NOUN"", ""curving"": ""NOUN"", ""up"": ""PRT""}"
4059,⤴,"[""Right Arrow Curving Up""]","[""curving"", ""up"", ""right"", ""arrow""]","{""right"": ""ADV"", ""arrow"": ""NOUN"", ""curving"": ""NOUN"", ""up"": ""PRT""}"
4060,⤵️,"[""Right Arrow Curving Down"", ""Curved Down Arrow""]","[""right"", ""curving"", ""arrow"", ""down"", ""curved""]","{""right"": ""ADV"", ""arrow"": ""NOUN"", ""curving"": ""VERB"", ""down"": ""NOUN"", ""curved"": ""NOUN""}"
4061,⤵,"[""Right Arrow Curving Down"", ""Curved Down Arrow""]","[""right"", ""curving"", ""arrow"", ""down"", ""curved""]","{""right"": ""ADV"", ""arrow"": ""NOUN"", ""curving"": ""VERB"", ""down"": ""NOUN"", ""curved"": ""NOUN""}"
4062,🔃,"[""Clockwise Vertical Arrows""]","[""vertical"", ""arrows"", ""clockwise""]","{""clockwise"": ""NOUN"", ""vertical"": ""NOUN"", ""arrows"": ""NOUN""}"
4063,🔄,"[""Counterclockwise Arrows Button"", ""Refresh"", ""Rotate"", ""Switch""]","[""button"", ""arrows"", ""switch"", ""refresh"", ""rotate"", ""counterclockwise""]","{""counterclockwise"": ""NOUN"", ""arrows"": ""NOUN"", ""button"": ""NOUN"", ""refresh"": ""NOUN"", ""rotate"": ""NOUN"", ""switch"": ""NOUN""}"
4064,🔙,"[""Back Arrow"", ""Back""]","[""back"", ""arrow""]","{""back"": ""ADV"", ""arrow"": ""NOUN""}"
4065,🔚,"[""End Arrow"", ""End""]","[""end"", ""arrow""]","{""end"": ""NOUN"", ""arrow"": ""NOUN""}"
4066,🔛,"[""On! Arrow"", ""On""]","[""on"", ""!"", ""arrow""]","{""on"": ""ADP"", ""!"": ""."", ""arrow"": ""NOUN""}"
4067,🔜,"[""Soon Arrow"", ""Soon""]","[""soon"", ""arrow""]","{""soon"": ""ADV"", ""arrow"": ""NOUN""}"
4068,🔝,"[""Top Arrow"", ""Top""]","[""arrow"", ""top""]","{""top"": ""ADJ"", ""arrow"": ""NOUN""}"
4069,🛐,"[""Place of Worship"", ""Religious Building""]","[""place"", ""religious"", ""of"", ""worship"", ""building""]","{""place"": ""NOUN"", ""of"": ""ADP"", ""worship"": ""NOUN"", ""religious"": ""ADJ"", ""building"": ""NOUN""}"
4070,⚛️,"[""Atom Symbol""]","[""atom"", ""symbol""]","{""atom"": ""NOUN"", ""symbol"": ""NOUN""}"
4071,⚛,"[""Atom Symbol""]","[""atom"", ""symbol""]","{""atom"": ""NOUN"", ""symbol"": ""NOUN""}"
4072,🕉️,"[""Om"", ""Aumkara"", ""Omkara"", ""Pranava""]","[""om"", ""aumkara"", ""omkara"", ""pranava""]","{""om"": ""NOUN"", ""aumkara"": ""NOUN"", ""omkara"": ""NOUN"", ""pranava"": ""NOUN""}"
4073,🕉,"[""Om"", ""Aumkara"", ""Omkara"", ""Pranava""]","[""om"", ""aumkara"", ""omkara"", ""pranava""]","{""om"": ""NOUN"", ""aumkara"": ""NOUN"", ""omkara"": ""NOUN"", ""pranava"": ""NOUN""}"
4074,✡️,"[""Star of David"", ""Magen David""]","[""david"", ""star"", ""magen"", ""of""]","{""star"": ""NOUN"", ""of"": ""ADP"", ""david"": ""NOUN"", ""magen"": ""NOUN""}"
4075,✡,"[""Star of David"", ""Magen David""]","[""david"", ""star"", ""magen"", ""of""]","{""star"": ""NOUN"", ""of"": ""ADP"", ""david"": ""NOUN"", ""magen"": ""NOUN""}"
4076,☸️,"[""Wheel of Dharma"", ""Helm""]","[""of"", ""helm"", ""dharma"", ""wheel""]","{""wheel"": ""NOUN"", ""of"": ""ADP"", ""dharma"": ""NOUN"", ""helm"": ""NOUN""}"
4077,☸,"[""Wheel of Dharma"", ""Helm""]","[""of"", ""helm"", ""dharma"", ""wheel""]","{""wheel"": ""NOUN"", ""of"": ""ADP"", ""dharma"": ""NOUN"", ""helm"": ""NOUN""}"
4078,☯️,"[""Yin Yang""]","[""yang"", ""yin""]","{""yin"": ""NOUN"", ""yang"": ""NOUN""}"
4079,☯,"[""Yin Yang""]","[""yang"", ""yin""]","{""yin"": ""NOUN"", ""yang"": ""NOUN""}"
4080,✝️,"[""Latin Cross"", ""Christian Cross""]","[""cross"", ""christian"", ""latin""]","{""latin"": ""NOUN"", ""cross"": ""NOUN"", ""christian"": ""ADJ""}"
4081,✝,"[""Latin Cross"", ""Christian Cross""]","[""cross"", ""christian"", ""latin""]","{""latin"": ""NOUN"", ""cross"": ""NOUN"", ""christian"": ""ADJ""}"
4082,☦️,"[""Orthodox Cross""]","[""cross"", ""orthodox""]","{""orthodox"": ""NOUN"", ""cross"": ""NOUN""}"
4083,☦,"[""Orthodox Cross""]","[""cross"", ""orthodox""]","{""orthodox"": ""NOUN"", ""cross"": ""NOUN""}"
4084,☪️,"[""Star and Crescent""]","[""star"", ""crescent"", ""and""]","{""star"": ""NOUN"", ""and"": ""CONJ"", ""crescent"": ""NOUN""}"
4085,☪,"[""Star and Crescent""]","[""star"", ""crescent"", ""and""]","{""star"": ""NOUN"", ""and"": ""CONJ"", ""crescent"": ""NOUN""}"
4086,☮️,"[""Peace Symbol"", ""Peace Sign""]","[""sign"", ""symbol"", ""peace""]","{""peace"": ""NOUN"", ""symbol"": ""NOUN"", ""sign"": ""NOUN""}"
4087,☮,"[""Peace Symbol"", ""Peace Sign""]","[""sign"", ""symbol"", ""peace""]","{""peace"": ""NOUN"", ""symbol"": ""NOUN"", ""sign"": ""NOUN""}"
4088,🕎,"[""Menorah"", ""Candelabrum"", ""Candles"", ""Chanukiah"", ""Menorah""]","[""menorah"", ""candelabrum"", ""candles"", ""chanukiah""]","{""menorah"": ""NOUN"", ""candelabrum"": ""NOUN"", ""candles"": ""NOUN"", ""chanukiah"": ""NOUN""}"
4089,🔯,"[""Dotted Six-Pointed Star""]","[""star"", ""six-pointed"", ""dotted""]","{""dotted"": ""VERB"", ""six-pointed"": ""ADJ"", ""star"": ""NOUN""}"
4090,♈,"[""Aries""]","[""aries""]","{""aries"": ""NOUN""}"
4091,♉,"[""Taurus""]","[""taurus""]","{""taurus"": ""NOUN""}"
4092,♊,"[""Gemini""]","[""gemini""]","{""gemini"": ""NOUN""}"
4093,♋,"[""Cancer""]","[""cancer""]","{""cancer"": ""NOUN""}"
4094,♌,"[""Leo""]","[""leo""]","{""leo"": ""NOUN""}"
4095,♍,"[""Virgo""]","[""virgo""]","{""virgo"": ""NOUN""}"
4096,♎,"[""Libra""]","[""libra""]","{""libra"": ""NOUN""}"
4097,♏,"[""Scorpio"", ""Scorpio""]","[""scorpio""]","{""scorpio"": ""NOUN""}"
4098,♐,"[""Sagittarius""]","[""sagittarius""]","{""sagittarius"": ""NOUN""}"
4099,♑,"[""Capricorn""]","[""capricorn""]","{""capricorn"": ""NOUN""}"
4100,♒,"[""Aquarius""]","[""aquarius""]","{""aquarius"": ""NOUN""}"
4101,♓,"[""Pisces""]","[""pisces""]","{""pisces"": ""NOUN""}"
4102,⛎,"[""Ophiuchus""]","[""ophiuchus""]","{""ophiuchus"": ""ADV""}"
4103,🔀,"[""Shuffle Tracks Button""]","[""button"", ""tracks"", ""shuffle""]","{""shuffle"": ""NOUN"", ""tracks"": ""NOUN"", ""button"": ""NOUN""}"
4104,🔁,"[""Repeat Button"", ""Loop Symbol"", ""Retweet""]","[""button"", ""symbol"", ""retweet"", ""repeat"", ""loop""]","{""repeat"": ""NOUN"", ""button"": ""NOUN"", ""loop"": ""NOUN"", ""symbol"": ""NOUN"", ""retweet"": ""NOUN""}"
4105,🔂,"[""Repeat Single Button"", ""Circle Arrows With Number 1"", ""Loop Once Symbol""]","[""symbol"", ""single"", ""repeat"", ""loop"", ""number"", ""button"", ""arrows"", ""1"", ""once"", ""with"", ""circle""]","{""repeat"": ""NOUN"", ""single"": ""NOUN"", ""button"": ""NOUN"", ""circle"": ""NOUN"", ""arrows"": ""VERB"", ""with"": ""ADP"", ""number"": ""NOUN"", ""1"": ""NUM"", ""loop"": ""NOUN"", ""once"": ""NOUN"", ""symbol"": ""NOUN""}"
4106,▶️,"[""Play Button"", ""Play Button"", ""Right Triangle""]","[""button"", ""triangle"", ""play"", ""right""]","{""play"": ""NOUN"", ""button"": ""NOUN"", ""right"": ""ADV"", ""triangle"": ""NOUN""}"
4107,▶,"[""Play Button"", ""Play Button"", ""Right Triangle""]","[""button"", ""triangle"", ""play"", ""right""]","{""play"": ""NOUN"", ""button"": ""NOUN"", ""right"": ""ADV"", ""triangle"": ""NOUN""}"
4108,⏩,"[""Fast-Forward Button"", ""Fast Forward""]","[""button"", ""fast"", ""forward"", ""fast-forward""]","{""fast-forward"": ""NOUN"", ""button"": ""NOUN"", ""fast"": ""NOUN"", ""forward"": ""NOUN""}"
4109,⏭️,"[""Next Track Button"", ""Next Track""]","[""button"", ""track"", ""next""]","{""next"": ""ADJ"", ""track"": ""NOUN"", ""button"": ""NOUN""}"
4110,⏭,"[""Next Track Button"", ""Next Track""]","[""button"", ""track"", ""next""]","{""next"": ""ADJ"", ""track"": ""NOUN"", ""button"": ""NOUN""}"
4111,⏯️,"[""Play or Pause Button"", ""Play-Pause""]","[""button"", ""play"", ""or"", ""pause"", ""play-pause""]","{""play"": ""NOUN"", ""or"": ""CONJ"", ""pause"": ""NOUN"", ""button"": ""NOUN"", ""play-pause"": ""NOUN""}"
4112,⏯,"[""Play or Pause Button"", ""Play-Pause""]","[""button"", ""play"", ""or"", ""pause"", ""play-pause""]","{""play"": ""NOUN"", ""or"": ""CONJ"", ""pause"": ""NOUN"", ""button"": ""NOUN"", ""play-pause"": ""NOUN""}"
4113,◀️,"[""Reverse Button"", ""Left Triangle""]","[""reverse"", ""button"", ""triangle"", ""left""]","{""reverse"": ""NOUN"", ""button"": ""NOUN"", ""left"": ""VERB"", ""triangle"": ""NOUN""}"
4114,◀,"[""Reverse Button"", ""Left Triangle""]","[""reverse"", ""button"", ""triangle"", ""left""]","{""reverse"": ""NOUN"", ""button"": ""NOUN"", ""left"": ""VERB"", ""triangle"": ""NOUN""}"
4115,⏪,"[""Fast Reverse Button"", ""Rewind""]","[""reverse"", ""fast"", ""button"", ""rewind""]","{""fast"": ""NOUN"", ""reverse"": ""NOUN"", ""button"": ""NOUN"", ""rewind"": ""NOUN""}"
4116,⏮️,"[""Last Track Button"", ""Previous Track""]","[""button"", ""track"", ""previous"", ""last""]","{""last"": ""ADJ"", ""track"": ""NOUN"", ""button"": ""NOUN"", ""previous"": ""ADJ""}"
4117,⏮,"[""Last Track Button"", ""Previous Track""]","[""button"", ""track"", ""previous"", ""last""]","{""last"": ""ADJ"", ""track"": ""NOUN"", ""button"": ""NOUN"", ""previous"": ""ADJ""}"
4118,🔼,"[""Upwards Button"", ""Up Triangle""]","[""button"", ""triangle"", ""up"", ""upwards""]","{""upwards"": ""NOUN"", ""button"": ""NOUN"", ""up"": ""ADP"", ""triangle"": ""NOUN""}"
4119,⏫,"[""Fast Up Button""]","[""button"", ""fast"", ""up""]","{""fast"": ""NOUN"", ""up"": ""NOUN"", ""button"": ""NOUN""}"
4120,🔽,"[""Downwards Button"", ""Down Triangle""]","[""button"", ""triangle"", ""downwards"", ""down""]","{""downwards"": ""NOUN"", ""button"": ""NOUN"", ""down"": ""ADP"", ""triangle"": ""NOUN""}"
4121,⏬,"[""Fast Down Button""]","[""button"", ""fast"", ""down""]","{""fast"": ""NOUN"", ""down"": ""NOUN"", ""button"": ""NOUN""}"
4122,⏸️,"[""Pause Button"", ""Pause""]","[""button"", ""pause""]","{""pause"": ""NOUN"", ""button"": ""NOUN""}"
4123,⏸,"[""Pause Button"", ""Pause""]","[""button"", ""pause""]","{""pause"": ""NOUN"", ""button"": ""NOUN""}"
4124,⏹️,"[""Stop Button"", ""Stop""]","[""button"", ""stop""]","{""stop"": ""VERB"", ""button"": ""NOUN""}"
4125,⏹,"[""Stop Button"", ""Stop""]","[""button"", ""stop""]","{""stop"": ""VERB"", ""button"": ""NOUN""}"
4126,⏺️,"[""Record Button"", ""Record""]","[""record"", ""button""]","{""record"": ""NOUN"", ""button"": ""NOUN""}"
4127,⏺,"[""Record Button"", ""Record""]","[""record"", ""button""]","{""record"": ""NOUN"", ""button"": ""NOUN""}"
4128,⏏️,"[""Eject Button""]","[""button"", ""eject""]","{""eject"": ""NOUN"", ""button"": ""NOUN""}"
4129,⏏,"[""Eject Button""]","[""button"", ""eject""]","{""eject"": ""NOUN"", ""button"": ""NOUN""}"
4130,🎦,"[""Cinema"", ""Cinema Screen"", ""Movies""]","[""cinema"", ""screen"", ""movies""]","{""cinema"": ""NOUN"", ""screen"": ""NOUN"", ""movies"": ""NOUN""}"
4131,🔅,"[""Dim Button"", ""Decrease Brightness""]","[""button"", ""dim"", ""decrease"", ""brightness""]","{""dim"": ""NOUN"", ""button"": ""NOUN"", ""decrease"": ""NOUN"", ""brightness"": ""NOUN""}"
4132,🔆,"[""Bright Button"", ""Increase Brightness""]","[""button"", ""bright"", ""brightness"", ""increase""]","{""bright"": ""NOUN"", ""button"": ""NOUN"", ""increase"": ""NOUN"", ""brightness"": ""NOUN""}"
4133,📶,"[""Antenna Bars"", ""Reception Bars"", ""Signal Strength"", ""Stairs""]","[""signal"", ""stairs"", ""bars"", ""strength"", ""reception"", ""antenna""]","{""antenna"": ""NOUN"", ""bars"": ""NOUN"", ""reception"": ""NOUN"", ""signal"": ""NOUN"", ""strength"": ""NOUN"", ""stairs"": ""NOUN""}"
4134,📳,"[""Vibration Mode"", ""Phone Heart"", ""Silent Mode""]","[""silent"", ""heart"", ""mode"", ""vibration"", ""phone""]","{""vibration"": ""NOUN"", ""mode"": ""NOUN"", ""phone"": ""NOUN"", ""heart"": ""NOUN"", ""silent"": ""ADJ""}"
