,emoji,src_meanings,clean_meanings
4347,🇧🇲,"[""Flag: Bermuda"", ""Bermudan\u00a0Flag""]","[""bermuda"", ""bermudan flag""]"
4348,🇧🇳,"[""Flag: Brunei"", ""Bruneian Flag""]","[""brunei"", ""bruneian flag""]"
4349,🇧🇴,"[""Flag: Bolivia"", ""Bolivian Flag""]","[""bolivia"", ""bolivian flag""]"
4350,🇧🇶,"[""Flag: Caribbean Netherlands"", ""Bonaire""]","[""caribbean netherlands"", ""bonaire""]"
4351,🇧🇷,"[""Flag: Brazil"", ""Brazilian Flag"", ""Flag For Brasil""]","[""brazil"", ""brazilian flag"", ""flag for brasil""]"
4352,🇧🇸,"[""Flag: Bahamas"", ""Bahamian Flag""]","[""bahamas"", ""bahamian flag""]"
4353,🇧🇹,"[""Flag: Bhutan"", ""Bhutanese Flag""]","[""bhutan"", ""bhutanese flag""]"
4354,🇧🇻,"[""Flag: Bouvet Island""]","[""bouvet island""]"
4355,🇧🇼,"[""Flag: Botswana"", ""Batswana Flag""]","[""botswana"", ""batswana flag""]"
4356,🇧🇾,"[""Flag: Belarus"", ""Belarusian Flag""]","[""belarus"", ""belarusian flag""]"
4357,🇧🇿,"[""Flag: Belize"", ""Belizean Flag""]","[""belize"", ""belizean flag""]"
4358,🇨🇦,"[""Flag: Canada"", ""Canadian Flag""]","[""canada"", ""canadian flag""]"
4359,🇨🇨,"[""Flag: Cocos (Keeling) Islands""]","[""cocos (keeling) islands""]"
4360,🇨🇩,"[""Flag: Congo - Kinshasa""]","[""congo - kinshasa""]"
4361,🇨🇫,"[""Flag: Central African Republic"", ""Central African Flag""]","[""central african republic"", ""central african flag""]"
4362,🇨🇬,"[""Flag: Congo - Brazzaville""]","[""congo - brazzaville""]"
4363,🇨🇭,"[""Flag: Switzerland"", ""Red Cross"", ""Swiss Flag""]","[""switzerland"", ""red cross"", ""swiss flag""]"
4364,🇨🇮,"[""Flag: C\u00f4te d\u2019Ivoire""]","[""c\u00f4te d\u2019ivoire""]"
4365,🇨🇰,"[""Flag: Cook Islands"", ""Cook Islander Flag""]","[""cook islands"", ""cook islander flag""]"
4366,🇨🇱,"[""Flag: Chile"", ""Chilean Flag""]","[""chile"", ""chilean flag""]"
4367,🇨🇲,"[""Flag: Cameroon"", ""Cameroonian Flag""]","[""cameroon"", ""cameroonian flag""]"
4368,🇨🇳,"[""Flag: China"", ""Chinese Flag"", ""Regional Indicator Symbol Letters CN""]","[""china"", ""chinese flag"", ""regional indicator symbol letters cn""]"
4369,🇨🇴,"[""Flag: Colombia"", ""Colombian Flag""]","[""colombia"", ""colombian flag""]"
4370,🇨🇵,"[""Flag: Clipperton Island""]","[""clipperton island""]"
4371,🇨🇷,"[""Flag: Costa Rica"", ""Costa Rican Flag""]","[""costa rica"", ""costa rican flag""]"
4372,🇨🇺,"[""Flag: Cuba"", ""Cuban Flag""]","[""cuba"", ""cuban flag""]"
4373,🇨🇻,"[""Flag: Cape Verde"", ""Cape Verdian Flag""]","[""cape verde"", ""cape verdian flag""]"
4374,🇨🇼,"[""Flag: Cura\u00e7ao"", ""Cura\u00e7aoan Flag""]","[""cura\u00e7ao"", ""cura\u00e7aoan flag""]"
4375,🇨🇽,"[""Flag: Christmas Island"", ""Christmas Island Flag""]","[""christmas island"", ""christmas island flag""]"
4376,🇨🇾,"[""Flag: Cyprus"", ""Cypriot Flag""]","[""cyprus"", ""cypriot flag""]"
4377,🇨🇿,"[""Flag: Czechia"", ""Czech Flag""]","[""czechia"", ""czech flag""]"
4378,🇩🇪,"[""Flag: Germany"", ""Deutsch Flag"", ""German Flag"", ""Regional Indicator Symbol Letters DE""]","[""germany"", ""deutsch flag"", ""german flag"", ""regional indicator symbol letters de""]"
4379,🇩🇬,"[""Flag: Diego Garcia""]","[""diego garcia""]"
4380,🇩🇯,"[""Flag: Djibouti"", ""Djiboutian Flag"", ""Djibouti Flag""]","[""djibouti"", ""djiboutian flag"", ""djibouti flag""]"
4381,🇩🇰,"[""Flag: Denmark"", ""Danish Flag""]","[""denmark"", ""danish flag""]"
4382,🇩🇲,"[""Flag: Dominica""]","[""dominica""]"
4383,🇩🇴,"[""Flag: Dominican Republic"", ""Dominican Flag"", ""Dom Rep Flag""]","[""dominican republic"", ""dominican flag"", ""dom rep flag""]"
4384,🇩🇿,"[""Flag: Algeria"", ""Algerian Flag""]","[""algeria"", ""algerian flag""]"
4385,🇪🇦,"[""Flag: Ceuta & Melilla""]","[""ceuta & melilla""]"
4386,🇪🇨,"[""Flag: Ecuador"", ""Ecuadorian Flag""]","[""ecuador"", ""ecuadorian flag""]"
4387,🇪🇪,"[""Flag: Estonia"", ""Estonian Flag""]","[""estonia"", ""estonian flag""]"
4388,🇪🇬,"[""Flag: Egypt"", ""Egyptian Flag""]","[""egypt"", ""egyptian flag""]"
4389,🇪🇭,"[""Flag: Western Sahara"", ""Western Saharan Flag""]","[""western sahara"", ""western saharan flag""]"
4390,🇪🇷,"[""Flag: Eritrea"", ""Eritrean Flag""]","[""eritrea"", ""eritrean flag""]"
4391,🇪🇸,"[""Flag: Spain"", ""Regional Indicator Symbol Letters ES"", ""Spanish Flag""]","[""spain"", ""regional indicator symbol letters es"", ""spanish flag""]"
4392,🇪🇹,"[""Flag: Ethiopia"", ""Ethiopian Flag""]","[""ethiopia"", ""ethiopian flag""]"
4393,🇪🇺,"[""Flag: European Union"", ""EU Flag""]","[""european union"", ""eu flag""]"
4394,🇫🇮,"[""Flag: Finland"", ""Finnish Flag""]","[""finland"", ""finnish flag""]"
4395,🇫🇯,"[""Flag: Fiji"", ""Fijian Flag""]","[""fiji"", ""fijian flag""]"
4396,🇫🇰,"[""Flag: Falkland Islands"", ""Falklander Flag""]","[""falkland islands"", ""falklander flag""]"
4397,🇫🇲,"[""Flag: Micronesia"", ""Micronesian Flag""]","[""micronesia"", ""micronesian flag""]"
4398,🇫🇴,"[""Flag: Faroe Islands"", ""Faroe Islander Flag""]","[""faroe islands"", ""faroe islander flag""]"
4399,🇫🇷,"[""Flag: France"", ""French Flag"", ""Regional Indicator Symbol Letters FR""]","[""france"", ""french flag"", ""regional indicator symbol letters fr""]"
4400,🇬🇦,"[""Flag: Gabon"", ""Gabonese Flag""]","[""gabon"", ""gabonese flag""]"
4401,🇬🇧,"[""Flag: United Kingdom"", ""UK Flag"", ""Union Flag"", ""Union Jack""]","[""united kingdom"", ""uk flag"", ""union flag"", ""union jack""]"
4402,🇬🇩,"[""Flag: Grenada"", ""Grenadian Flag""]","[""grenada"", ""grenadian flag""]"
4403,🇬🇪,"[""Flag: Georgia"", ""Georgian Flag""]","[""georgia"", ""georgian flag""]"
4404,🇬🇫,"[""Flag: French Guiana"", ""French Guinean Flag""]","[""french guiana"", ""french guinean flag""]"
4405,🇬🇬,"[""Flag: Guernsey"", ""Guernsey Flag""]","[""guernsey"", ""guernsey flag""]"
4406,🇬🇭,"[""Flag: Ghana"", ""Ghanaian Flag""]","[""ghana"", ""ghanaian flag""]"
4407,🇬🇮,"[""Flag: Gibraltar"", ""Gibraltarian Flag""]","[""gibraltar"", ""gibraltarian flag""]"
4408,🇬🇱,"[""Flag: Greenland"", ""Greenlandic Flag""]","[""greenland"", ""greenlandic flag""]"
4409,🇬🇲,"[""Flag: Gambia"", ""Gambian\u00a0Flag""]","[""gambia"", ""gambian flag""]"
4410,🇬🇳,"[""Flag: Guinea"", ""Guinean Flag""]","[""guinea"", ""guinean flag""]"
4411,🇬🇵,"[""Flag: Guadeloupe"", ""Guadeloupean Flag""]","[""guadeloupe"", ""guadeloupean flag""]"
4412,🇬🇶,"[""Flag: Equatorial Guinea"", ""Equatoguinean Flag"", ""Equatorial Guinean Flag""]","[""equatorial guinea"", ""equatoguinean flag"", ""equatorial guinean flag""]"
4413,🇬🇷,"[""Flag: Greece"", ""Greek Flag""]","[""greece"", ""greek flag""]"
4414,🇬🇸,"[""Flag: South Georgia & South Sandwich Islands""]","[""south georgia & south sandwich islands""]"
4415,🇬🇹,"[""Flag: Guatemala"", ""Guatemalan Flag""]","[""guatemala"", ""guatemalan flag""]"
4416,🇬🇺,"[""Flag: Guam"", ""Chamorro Flag"", ""Guamanian Flag""]","[""guam"", ""chamorro flag"", ""guamanian flag""]"
4417,🇬🇼,"[""Flag: Guinea-Bissau"", ""Guinea-Bissau Flag""]","[""guinea-bissau"", ""guinea-bissau flag""]"
4418,🇬🇾,"[""Flag: Guyana"", ""Guyanese Flag""]","[""guyana"", ""guyanese flag""]"
4419,🇭🇰,"[""Flag: Hong Kong SAR China"", ""Hong Kong Flag""]","[""hong kong sar china"", ""hong kong flag""]"
4420,🇭🇲,"[""Flag: Heard & McDonald Islands""]","[""heard & mcdonald islands""]"
4421,🇭🇳,"[""Flag: Honduras"", ""Honduran Flag""]","[""honduras"", ""honduran flag""]"
4422,🇭🇷,"[""Flag: Croatia"", ""Croatian Flag""]","[""croatia"", ""croatian flag""]"
4423,🇭🇹,"[""Flag: Haiti"", ""Haitian Flag""]","[""haiti"", ""haitian flag""]"
4424,🇭🇺,"[""Flag: Hungary"", ""Hungarian Flag""]","[""hungary"", ""hungarian flag""]"
4425,🇮🇨,"[""Flag: Canary Islands""]","[""canary islands""]"
4426,🇮🇩,"[""Flag: Indonesia"", ""Indonesian Flag""]","[""indonesia"", ""indonesian flag""]"
4427,🇮🇪,"[""Flag: Ireland"", ""Irish\u00a0Flag""]","[""ireland"", ""irish flag""]"
4428,🇮🇱,"[""Flag: Israel"", ""Israeli Flag""]","[""israel"", ""israeli flag""]"
4429,🇮🇲,"[""Flag: Isle of Man"", ""Manx Flag""]","[""isle of man"", ""manx flag""]"
4430,🇮🇳,"[""Flag: India"", ""Indian Flag""]","[""india"", ""indian flag""]"
4431,🇮🇴,"[""Flag: British Indian Ocean Territory"", ""British Indian Ocean Territory Flag""]","[""british indian ocean territory"", ""british indian ocean territory flag""]"
4432,🇮🇶,"[""Flag: Iraq"", ""Iraqi Flag""]","[""iraq"", ""iraqi flag""]"
4433,🇮🇷,"[""Flag: Iran"", ""Iranian\u00a0Flag""]","[""iran"", ""iranian flag""]"
4434,🇮🇸,"[""Flag: Iceland"", ""Icelandic Flag""]","[""iceland"", ""icelandic flag""]"
4435,🇮🇹,"[""Flag: Italy"", ""Italian Flag"", ""Regional Indicator Symbol Letters IT""]","[""italy"", ""italian flag"", ""regional indicator symbol letters it""]"
4436,🇯🇪,"[""Flag: Jersey"", ""Jersey Flag""]","[""jersey"", ""jersey flag""]"
4437,🇯🇲,"[""Flag: Jamaica"", ""Jamaican\u00a0Flag""]","[""jamaica"", ""jamaican flag""]"
4438,🇯🇴,"[""Flag: Jordan"", ""Jordanian Flag""]","[""jordan"", ""jordanian flag""]"
4439,🇯🇵,"[""Flag: Japan"", ""Japanese Flag"", ""Regional Indicator Symbol Letters JP""]","[""japan"", ""japanese flag"", ""regional indicator symbol letters jp""]"
4440,🇰🇪,"[""Flag: Kenya"", ""Kenyan Flag""]","[""kenya"", ""kenyan flag""]"
4441,🇰🇬,"[""Flag: Kyrgyzstan"", ""Kyrgyzstani Flag""]","[""kyrgyzstan"", ""kyrgyzstani flag""]"
4442,🇰🇭,"[""Flag: Cambodia"", ""Cambodian Flag""]","[""cambodia"", ""cambodian flag""]"
4443,🇰🇮,"[""Flag: Kiribati"", ""I-Kiribati Flag""]","[""kiribati"", ""i-kiribati flag""]"
4444,🇰🇲,"[""Flag: Comoros"", ""Comoran Flag""]","[""comoros"", ""comoran flag""]"
4445,🇰🇳,"[""Flag: St. Kitts & Nevis""]","[""st. kitts & nevis""]"
4446,🇰🇵,"[""Flag: North Korea"", ""North Korean Flag""]","[""north korea"", ""north korean flag""]"
4447,🇰🇷,"[""Flag: South Korea"", ""Regional Indicator Symbol Letters KR"", ""South Korean Flag""]","[""south korea"", ""regional indicator symbol letters kr"", ""south korean flag""]"
4448,🇰🇼,"[""Flag: Kuwait"", ""Kuwaiti Flag""]","[""kuwait"", ""kuwaiti flag""]"
4449,🇰🇾,"[""Flag: Cayman Islands"", ""Caymanian Flag""]","[""cayman islands"", ""caymanian flag""]"
4450,🇰🇿,"[""Flag: Kazakhstan"", ""Kazakh Flag"", ""Kazakhstani Flag""]","[""kazakhstan"", ""kazakh flag"", ""kazakhstani flag""]"
4451,🇱🇦,"[""Flag: Laos"", ""Lao Flag"", ""Laotian Flag""]","[""laos"", ""lao flag"", ""laotian flag""]"
4452,🇱🇧,"[""Flag: Lebanon"", ""Lebanese Flag""]","[""lebanon"", ""lebanese flag""]"
4453,🇱🇨,"[""Flag: St. Lucia""]","[""st. lucia""]"
4454,🇱🇮,"[""Flag: Liechtenstein"", ""Liechtensteiner Flag""]","[""liechtenstein"", ""liechtensteiner flag""]"
4455,🇱🇰,"[""Flag: Sri Lanka"", ""Sri Lankan Flag""]","[""sri lanka"", ""sri lankan flag""]"
4456,🇱🇷,"[""Flag: Liberia"", ""Liberian Flag""]","[""liberia"", ""liberian flag""]"
4457,🇱🇸,"[""Flag: Lesotho"", ""Basotho Flag""]","[""lesotho"", ""basotho flag""]"
4458,🇱🇹,"[""Flag: Lithuania"", ""Lithuanian Flag""]","[""lithuania"", ""lithuanian flag""]"
4459,🇱🇺,"[""Flag: Luxembourg"", ""Luxembourger Flag""]","[""luxembourg"", ""luxembourger flag""]"
4460,🇱🇻,"[""Flag: Latvia"", ""Latvian Flag""]","[""latvia"", ""latvian flag""]"
4461,🇱🇾,"[""Flag: Libya"", ""Libyan Flag""]","[""libya"", ""libyan flag""]"
4462,🇲🇦,"[""Flag: Morocco"", ""Moroccan Flag""]","[""morocco"", ""moroccan flag""]"
4463,🇲🇨,"[""Flag: Monaco"", ""Mon\u00e9gasque Flag""]","[""monaco"", ""mon\u00e9gasque flag""]"
4464,🇲🇩,"[""Flag: Moldova"", ""Moldovan Flag""]","[""moldova"", ""moldovan flag""]"
4465,🇲🇪,"[""Flag: Montenegro"", ""Montenegrin Flag""]","[""montenegro"", ""montenegrin flag""]"
4466,🇲🇫,"[""Flag: St. Martin""]","[""st. martin""]"
4467,🇲🇬,"[""Flag: Madagascar"", ""Madagascan Flag""]","[""madagascar"", ""madagascan flag""]"
4468,🇲🇭,"[""Flag: Marshall Islands"", ""Marshallese Flag""]","[""marshall islands"", ""marshallese flag""]"
4469,🇲🇰,"[""Flag: North Macedonia"", ""Macedonian Flag""]","[""north macedonia"", ""macedonian flag""]"
4470,🇲🇱,"[""Flag: Mali"", ""Malian Flag""]","[""mali"", ""malian flag""]"
4471,🇲🇲,"[""Flag: Myanmar (Burma)"", ""Burmese Flag"", ""Flag For Burma"", ""Myanmarese\u00a0Flag""]","[""myanmar (burma)"", ""burmese flag"", ""flag for burma"", ""myanmarese flag""]"
4472,🇲🇳,"[""Flag: Mongolia"", ""Mongolian Flag""]","[""mongolia"", ""mongolian flag""]"
4473,🇲🇴,"[""Flag: Macao Sar China"", ""Macanese\u00a0Flag""]","[""macao sar china"", ""macanese flag""]"
4474,🇲🇵,"[""Flag: Northern Mariana Islands"", ""Micronesian Flag""]","[""northern mariana islands"", ""micronesian flag""]"
4475,🇲🇶,"[""Flag: Martinique"", ""Martiniquais\u00a0Flag"", ""Snake Flag of\u00a0Martinique""]","[""martinique"", ""martiniquais flag"", ""snake flag of martinique""]"
4476,🇲🇷,"[""Flag: Mauritania"", ""Mauritanian Flag""]","[""mauritania"", ""mauritanian flag""]"
4477,🇲🇸,"[""Flag: Montserrat"", ""Montserratian Flag""]","[""montserrat"", ""montserratian flag""]"
4478,🇲🇹,"[""Flag: Malta"", ""Maltese Flag""]","[""malta"", ""maltese flag""]"
4479,🇲🇺,"[""Flag: Mauritius"", ""Mauritian Flag""]","[""mauritius"", ""mauritian flag""]"
4480,🇲🇻,"[""Flag: Maldives"", ""Maldivian Flag""]","[""maldives"", ""maldivian flag""]"
4481,🇲🇼,"[""Flag: Malawi"", ""Malawian\u00a0Flag""]","[""malawi"", ""malawian flag""]"
4482,🇲🇽,"[""Flag: Mexico"", ""Mexican Flag""]","[""mexico"", ""mexican flag""]"
4483,🇲🇾,"[""Flag: Malaysia"", ""Malaysian Flag""]","[""malaysia"", ""malaysian flag""]"
4484,🇲🇿,"[""Flag: Mozambique"", ""Mozambican Flag""]","[""mozambique"", ""mozambican flag""]"
4485,🇳🇦,"[""Flag: Namibia"", ""Namibian Flag""]","[""namibia"", ""namibian flag""]"
4486,🇳🇨,"[""Flag: New Caledonia"", ""New Caledonian Flag""]","[""new caledonia"", ""new caledonian flag""]"
4487,🇳🇪,"[""Flag: Niger"", ""Nigerien\u00a0Flag""]","[""niger"", ""nigerien flag""]"
4488,🇳🇫,"[""Flag: Norfolk Island"", ""Norfolk Island Flag""]","[""norfolk island"", ""norfolk island flag""]"
4489,🇳🇬,"[""Flag: Nigeria"", ""Nigerian Flag""]","[""nigeria"", ""nigerian flag""]"
4490,🇳🇮,"[""Flag: Nicaragua"", ""Nicaraguan Flag""]","[""nicaragua"", ""nicaraguan flag""]"
4491,🇳🇱,"[""Flag: Netherlands"", ""Dutch Flag""]","[""netherlands"", ""dutch flag""]"
4492,🇳🇴,"[""Flag: Norway"", ""Norwegian Flag""]","[""norway"", ""norwegian flag""]"
4493,🇳🇵,"[""Flag: Nepal"", ""Nepalese Flag""]","[""nepal"", ""nepalese flag""]"
4494,🇳🇷,"[""Flag: Nauru"", ""Nauruan Flag""]","[""nauru"", ""nauruan flag""]"
4495,🇳🇺,"[""Flag: Niue"", ""Niuean Flag""]","[""niue"", ""niuean flag""]"
4496,🇳🇿,"[""Flag: New Zealand"", ""Kiwi Flag""]","[""new zealand"", ""kiwi flag""]"
4497,🇴🇲,"[""Flag: Oman"", ""Omani Flag""]","[""oman"", ""omani flag""]"
4498,🇵🇦,"[""Flag: Panama"", ""Panamanian Flag""]","[""panama"", ""panamanian flag""]"
4499,🇵🇪,"[""Flag: Peru"", ""Peruvian Flag""]","[""peru"", ""peruvian flag""]"
4500,🇵🇫,"[""Flag: French Polynesia"", ""French Polynesian Flag""]","[""french polynesia"", ""french polynesian flag""]"
4501,🇵🇬,"[""Flag: Papua New Guinea"", ""Papua New Guinean Flag"", ""PNG Flag""]","[""papua new guinea"", ""papua new guinean flag"", ""png flag""]"
4502,🇵🇭,"[""Flag: Philippines""]","[""philippines""]"
4503,🇵🇰,"[""Flag: Pakistan"", ""Pakistani Flag""]","[""pakistan"", ""pakistani flag""]"
4504,🇵🇱,"[""Flag: Poland"", ""Polish Flag""]","[""poland"", ""polish flag""]"
4505,🇵🇲,"[""Flag: St. Pierre & Miquelon""]","[""st. pierre & miquelon""]"
4506,🇵🇳,"[""Flag: Pitcairn Islands""]","[""pitcairn islands""]"
4507,🇵🇷,"[""Flag: Puerto Rico"", ""Puerto Rican Flag""]","[""puerto rico"", ""puerto rican flag""]"
4508,🇵🇸,"[""Flag: Palestinian Territories"", ""Palestine""]","[""palestinian territories"", ""palestine""]"
4509,🇵🇹,"[""Flag: Portugal"", ""Portugese Flag""]","[""portugal"", ""portugese flag""]"
4510,🇵🇼,"[""Flag: Palau"", ""Palauan Flag""]","[""palau"", ""palauan flag""]"
4511,🇵🇾,"[""Flag: Paraguay"", ""Paraguayan Flag""]","[""paraguay"", ""paraguayan flag""]"
4512,🇶🇦,"[""Flag: Qatar"", ""Qatari Flag""]","[""qatar"", ""qatari flag""]"
4513,🇷🇪,"[""Flag: R\u00e9union"", ""R\u00e9unionnais Flag""]","[""r\u00e9union"", ""r\u00e9unionnais flag""]"
4514,🇷🇴,"[""Flag: Romania"", ""Romanian Flag""]","[""romania"", ""romanian flag""]"
4515,🇷🇸,"[""Flag: Serbia"", ""Serbian\u00a0Flag""]","[""serbia"", ""serbian flag""]"
4516,🇷🇺,"[""Flag: Russia"", ""Regional Indicator Symbol Letters RU"", ""Russian Flag""]","[""russia"", ""regional indicator symbol letters ru"", ""russian flag""]"
4517,🇷🇼,"[""Flag: Rwanda"", ""Rwandan Flag""]","[""rwanda"", ""rwandan flag""]"
4518,🇸🇦,"[""Flag: Saudi Arabia"", ""Saudi Arabian\u00a0Flag""]","[""saudi arabia"", ""saudi arabian flag""]"
4519,🇸🇧,"[""Flag: Solomon Islands"", ""Solomon Islander\u00a0Flag""]","[""solomon islands"", ""solomon islander flag""]"
4520,🇸🇨,"[""Flag: Seychelles"", ""Seychellois\u00a0Flag""]","[""seychelles"", ""seychellois flag""]"
4521,🇸🇩,"[""Flag: Sudan"", ""Sudanese Flag""]","[""sudan"", ""sudanese flag""]"
4522,🇸🇪,"[""Flag: Sweden"", ""Swedish Flag""]","[""sweden"", ""swedish flag""]"
4523,🇸🇬,"[""Flag: Singapore"", ""Singaporean Flag""]","[""singapore"", ""singaporean flag""]"
4524,🇸🇭,"[""Flag: St. Helena""]","[""st. helena""]"
4525,🇸🇮,"[""Flag: Slovenia"", ""Slovenian Flag""]","[""slovenia"", ""slovenian flag""]"
4526,🇸🇯,"[""Flag: Svalbard & Jan Mayen""]","[""svalbard & jan mayen""]"
4527,🇸🇰,"[""Flag: Slovakia"", ""Slovakian Flag"", ""Slovak\u00a0Flag""]","[""slovakia"", ""slovakian flag"", ""slovak flag""]"
4528,🇸🇱,"[""Flag: Sierra Leone"", ""Sierra Leonean Flag""]","[""sierra leone"", ""sierra leonean flag""]"
4529,🇸🇲,"[""Flag: San Marino"", ""Sammarinese Flag""]","[""san marino"", ""sammarinese flag""]"
4530,🇸🇳,"[""Flag: Senegal"", ""Sengalese Flag""]","[""senegal"", ""sengalese flag""]"
4531,🇸🇴,"[""Flag: Somalia"", ""Somalian\u00a0Flag""]","[""somalia"", ""somalian flag""]"
4532,🇸🇷,"[""Flag: Suriname"", ""Surinamer Flag""]","[""suriname"", ""surinamer flag""]"
4533,🇸🇸,"[""Flag: South Sudan"", ""South Sudanese\u00a0Flag""]","[""south sudan"", ""south sudanese flag""]"
4534,🇸🇹,"[""Flag: S\u00e3o Tom\u00e9 & Pr\u00edncipe""]","[""s\u00e3o tom\u00e9 & pr\u00edncipe""]"
4535,🇸🇻,"[""Flag: El Salvador"", ""El Salvadoran Flag""]","[""el salvador"", ""el salvadoran flag""]"
4536,🇸🇽,"[""Flag: Sint Maarten""]","[""sint maarten""]"
4537,🇸🇾,"[""Flag: Syria"", ""Syrian Flag""]","[""syria"", ""syrian flag""]"
4538,🇸🇿,"[""Flag: Eswatini"", ""eSwatini Flag""]","[""eswatini"", ""eswatini flag""]"
4539,🇹🇦,"[""Flag: Tristan Da Cunha""]","[""tristan da cunha""]"
